code;location;registered;envelopes;valid;ANO 2011;Blok proti islam.-Obran.domova;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Dobrá volba 2016;Dělnic.str.sociální spravedl.;Komunistická str.Čech a Moravy;Křesť.demokr.unie-Čs.str.lid.;Občanská demokratická aliance;Občanská demokratická strana;REALISTÉ;ROZUMNÍ-stop migraci,diktát.EU;Radostné Česko;Referendum o Evropské unii;SPORTOVCI;SPR-Republ.str.Čsl. M.Sládka;STAROSTOVÉ A NEZÁVISLÍ;Strana Práv Občanů;Strana svobodných občanů;Strana zelených;Svob.a př.dem.-T.Okamura (SPD);TOP 09;Česká pirátská strana;Česká str.sociálně demokrat.;Řád národa - Vlastenecká unie
547786;Adršpach;437;262;Řád národa - Vlastenecká unie;72;0;0;0;2;23;9;0;44;1;3;0;0;1;1;12;0;2;1;34;17;25;14;1
573884;Bezděkov nad Metují;446;283;Řád národa - Vlastenecká unie;71;0;0;0;0;12;31;0;27;2;4;1;0;0;1;19;1;3;3;55;4;26;19;0
573892;Bohuslavice;789;536;Řád národa - Vlastenecká unie;172;0;0;0;2;30;64;0;53;8;5;1;0;0;1;28;4;7;7;46;22;38;42;0
573906;Borová;179;123;Řád národa - Vlastenecká unie;47;0;0;0;0;8;14;0;9;0;3;0;0;0;0;4;0;1;5;7;2;15;7;0
573914;Božanov;276;160;Řád národa - Vlastenecká unie;50;0;0;0;0;19;10;0;12;1;1;0;0;0;0;17;0;1;0;14;1;24;9;0
573922;Broumov;6082;3124;Řád národa - Vlastenecká unie;1077;4;2;3;14;274;203;2;229;10;25;3;5;6;9;119;15;29;42;348;108;325;265;1
573931;Brzice;183;124;Řád národa - Vlastenecká unie;36;0;0;0;0;10;18;0;13;1;1;1;0;0;0;9;0;0;0;7;7;14;6;0
547751;Bukovice;298;208;Řád národa - Vlastenecká unie;61;0;0;1;2;7;23;0;28;2;0;0;1;0;1;13;0;4;2;23;8;17;15;0
573957;Černčice;397;264;Řád národa - Vlastenecká unie;68;0;0;1;0;13;39;0;9;4;2;3;1;0;2;7;1;6;6;27;12;36;21;0
505099;Červená Hora;162;118;Řád národa - Vlastenecká unie;40;0;0;0;0;8;15;0;5;0;1;0;0;0;0;17;0;0;2;7;5;11;5;1
573965;Červený Kostelec;6679;4389;Řád národa - Vlastenecká unie;1200;5;3;3;12;209;675;7;502;21;32;6;5;5;10;160;8;95;48;434;283;391;238;4
573973;Česká Čermná;416;302;Řád národa - Vlastenecká unie;93;0;0;0;0;2;43;0;40;1;3;1;0;2;0;7;1;4;4;31;7;23;37;2
573981;Česká Metuje;233;138;Řád národa - Vlastenecká unie;52;0;0;0;0;15;3;0;11;0;1;0;0;0;1;6;0;4;3;12;2;11;15;1
573990;Česká Skalice;4158;2476;Řád národa - Vlastenecká unie;838;1;2;1;1;145;186;1;286;16;11;2;0;1;3;72;9;24;27;336;122;215;152;2
574015;Dolany;523;348;Řád národa - Vlastenecká unie;151;0;0;3;0;28;11;0;34;4;3;0;0;0;0;13;1;4;11;34;12;23;12;0
574023;Dolní Radechová;626;445;Řád národa - Vlastenecká unie;141;1;0;0;0;21;35;1;54;2;2;1;0;0;1;17;0;2;3;51;30;37;42;1
574031;Hejtmánkovice;518;302;Řád národa - Vlastenecká unie;118;0;0;0;1;18;11;0;24;1;8;0;1;0;0;12;0;3;2;43;8;23;24;1
574040;Heřmanice;329;195;Řád národa - Vlastenecká unie;65;0;5;0;1;10;6;0;32;1;1;0;1;1;0;14;0;0;2;20;4;18;12;0
574058;Heřmánkovice;399;207;Řád národa - Vlastenecká unie;100;0;0;0;0;19;4;0;8;1;2;2;0;0;0;5;1;3;0;29;2;12;15;0
574066;Horní Radechová;392;254;Řád národa - Vlastenecká unie;83;0;1;0;0;16;34;0;19;1;0;1;0;0;1;8;0;2;4;26;5;26;26;0
547531;Hořenice;123;72;Řád národa - Vlastenecká unie;22;0;0;0;0;2;2;1;9;0;1;0;0;1;0;1;0;1;2;10;4;11;4;0
574074;Hořičky;459;311;Řád národa - Vlastenecká unie;102;1;0;0;3;11;41;0;23;0;4;0;0;0;0;13;2;7;0;27;20;33;16;4
574082;Hronov;5030;3128;Řád národa - Vlastenecká unie;956;2;1;3;8;145;311;4;405;15;26;3;3;7;6;151;7;36;33;296;122;305;242;4
574163;Hynčice;151;65;Řád národa - Vlastenecká unie;26;0;0;0;0;10;2;0;0;0;0;0;1;0;0;1;0;0;0;14;0;4;7;0
574112;Chvalkovice;591;373;Řád národa - Vlastenecká unie;134;0;0;0;0;37;17;1;20;2;3;0;2;0;0;18;1;3;3;61;12;42;14;1
574121;Jaroměř;9894;5624;Řád národa - Vlastenecká unie;1849;7;1;3;11;454;266;9;555;44;43;7;7;9;15;310;7;70;92;640;289;579;309;8
574139;Jasenná;575;346;Řád národa - Vlastenecká unie;98;0;0;0;2;21;34;1;25;6;6;0;0;0;2;22;1;6;4;40;16;31;29;0
574147;Jestřebí;136;98;Řád národa - Vlastenecká unie;19;0;0;0;0;3;24;0;11;0;1;0;0;0;0;5;0;3;1;8;2;12;9;0
574155;Jetřichov;381;226;Řád národa - Vlastenecká unie;61;0;0;0;1;19;16;0;26;0;2;0;0;0;0;17;0;4;0;30;6;22;22;0
574546;Kramolna;884;667;Řád národa - Vlastenecká unie;185;1;1;2;0;23;51;0;111;5;5;0;0;2;1;22;1;8;4;78;39;78;48;0
574171;Křinice;337;188;Řád národa - Vlastenecká unie;47;1;0;1;1;23;25;0;12;1;1;0;1;0;3;10;0;3;1;20;7;20;9;0
574180;Lhota pod Hořičkami;233;148;Řád národa - Vlastenecká unie;59;0;0;1;0;3;11;0;21;0;3;1;0;0;1;5;0;1;2;20;1;11;5;1
547701;Libchyně;59;44;Řád národa - Vlastenecká unie;13;0;0;0;0;0;6;0;6;1;1;0;0;0;0;0;0;0;2;5;2;6;2;0
573388;Litoboř;94;65;Řád národa - Vlastenecká unie;17;0;0;0;0;1;8;0;11;0;0;0;0;0;1;3;0;2;0;9;3;8;1;1
574210;Machov;888;575;Řád národa - Vlastenecká unie;159;1;0;0;1;17;46;1;86;4;7;2;1;0;1;44;3;4;8;59;27;41;53;1
574228;Martínkovice;423;273;Řád národa - Vlastenecká unie;110;0;0;0;1;25;26;0;16;3;1;1;0;0;0;15;2;0;0;28;7;16;20;0
574236;Mezilečí;119;87;Řád národa - Vlastenecká unie;27;0;0;0;0;9;13;0;11;1;0;0;0;0;0;1;0;0;0;13;2;7;3;0
574244;Mezilesí;200;128;Řád národa - Vlastenecká unie;35;0;0;3;1;6;11;0;14;0;0;0;0;0;2;12;0;1;1;19;4;14;5;0
574252;Meziměstí;2002;1094;Řád národa - Vlastenecká unie;413;0;0;3;2;109;50;0;65;2;8;1;1;1;2;39;0;11;9;110;19;95;148;1
574261;Nahořany;426;277;Řád národa - Vlastenecká unie;104;0;0;0;0;9;28;0;18;1;4;0;0;0;1;11;1;5;2;41;12;25;11;0
573868;Náchod;16069;9856;Řád národa - Vlastenecká unie;3023;8;4;19;18;552;835;12;1007;42;57;6;7;11;24;279;26;131;154;938;443;1017;1155;28
574279;Nové Město nad Metují;7802;5279;Řád národa - Vlastenecká unie;1557;0;6;6;9;268;515;2;677;42;41;5;9;4;9;203;17;123;65;495;314;554;328;11
574287;Nový Hrádek;615;451;Řád národa - Vlastenecká unie;116;1;0;0;1;18;76;0;40;1;4;0;3;2;3;36;0;10;3;30;17;44;38;6
574295;Nový Ples;274;176;Řád národa - Vlastenecká unie;52;1;0;0;1;15;15;0;15;2;1;0;0;1;0;6;1;1;4;23;7;19;10;0
574317;Otovice;298;162;Řád národa - Vlastenecká unie;66;0;0;0;0;14;5;0;17;2;1;0;0;0;0;5;0;0;5;9;2;19;14;0
574341;Police nad Metují;3336;2063;Řád národa - Vlastenecká unie;579;2;2;0;2;123;192;0;350;5;22;5;1;4;2;78;6;10;29;196;83;195;163;3
574350;Provodov-Šonov;953;650;Řád národa - Vlastenecká unie;199;0;0;0;0;24;105;0;84;2;7;1;0;1;0;34;0;5;13;44;15;85;28;1
574368;Přibyslav;157;101;Řád národa - Vlastenecká unie;27;0;0;0;0;3;13;0;11;0;1;0;0;0;0;6;0;0;0;19;13;6;2;0
574376;Rasošky;531;334;Řád národa - Vlastenecká unie;115;0;0;1;1;21;15;0;41;1;2;1;2;1;0;15;1;5;4;48;14;29;15;0
574384;Rožnov;318;196;Řád národa - Vlastenecká unie;60;1;0;0;0;14;9;0;15;2;2;0;0;0;0;17;0;1;2;27;10;23;13;0
574406;Rychnovek;504;314;Řád národa - Vlastenecká unie;105;4;0;0;2;23;27;0;30;1;2;1;1;0;1;19;2;1;1;38;14;26;12;0
530786;Říkov;168;115;Řád národa - Vlastenecká unie;33;0;0;0;2;12;8;0;7;1;2;0;0;1;0;5;0;4;2;11;6;13;7;0
547727;Sendraž;87;63;Řád národa - Vlastenecká unie;9;0;0;0;0;2;8;0;4;0;2;0;0;0;0;9;0;4;2;7;4;8;4;0
574422;Slatina nad Úpou;244;183;Řád národa - Vlastenecká unie;51;0;0;0;0;9;39;1;5;2;0;0;0;0;0;8;0;0;1;27;4;24;12;0
574431;Slavětín nad Metují;197;150;Řád národa - Vlastenecká unie;52;0;0;0;0;4;6;0;15;1;0;0;0;0;0;6;2;2;0;17;10;15;16;2
574457;Slavoňov;229;175;Řád národa - Vlastenecká unie;48;0;0;1;1;8;37;0;4;1;1;0;1;0;1;7;0;5;4;19;7;18;10;1
574465;Stárkov;521;342;Řád národa - Vlastenecká unie;115;0;0;1;1;23;26;0;31;0;2;1;0;0;0;13;1;6;4;42;11;38;26;0
574481;Studnice;866;616;Řád národa - Vlastenecká unie;211;0;0;4;3;38;46;0;66;4;4;0;1;1;0;25;2;10;21;57;30;46;45;0
574490;Suchý Důl;325;225;Řád národa - Vlastenecká unie;60;0;0;0;0;8;21;0;31;0;0;0;0;1;0;19;1;1;4;19;11;25;18;0
547654;Šestajovice;152;91;Řád národa - Vlastenecká unie;30;0;0;0;1;8;5;0;7;0;1;0;0;0;0;5;1;1;0;10;4;10;8;0
574511;Šonov;240;129;Řád národa - Vlastenecká unie;46;0;0;0;0;27;3;0;8;0;0;0;0;1;0;3;0;0;1;21;0;10;9;0
574538;Teplice nad Metují;1400;826;Řád národa - Vlastenecká unie;221;1;0;0;1;86;36;0;85;6;5;1;4;1;0;75;1;13;9;83;60;83;44;1
574554;Velichovky;700;504;Řád národa - Vlastenecká unie;169;1;1;3;4;29;27;2;51;3;7;3;0;0;1;43;2;8;4;35;20;50;35;4
574562;Velká Jesenice;613;375;Řád národa - Vlastenecká unie;138;0;1;0;0;25;54;0;20;1;3;1;0;0;0;21;1;5;4;31;13;26;27;0
574571;Velké Petrovice;335;217;Řád národa - Vlastenecká unie;34;2;0;1;0;12;13;0;24;3;2;0;0;2;1;6;0;5;1;26;4;43;38;0
547646;Velké Poříčí;1879;1275;Řád národa - Vlastenecká unie;387;0;0;2;5;77;119;1;208;3;11;1;2;0;3;36;4;13;13;116;72;93;92;1
574589;Velký Třebešov;260;174;Řád národa - Vlastenecká unie;55;0;1;0;1;11;16;0;21;0;4;0;0;0;3;3;1;2;2;20;4;14;13;1
547743;Vernéřovice;256;147;Řád národa - Vlastenecká unie;56;0;0;0;0;10;6;0;11;1;1;0;0;0;0;13;1;1;0;21;6;10;9;0
547565;Vestec;146;105;Řád národa - Vlastenecká unie;24;0;0;0;0;4;10;0;17;0;0;0;0;1;0;2;0;0;3;15;2;16;10;0
574601;Vlkov;300;195;Řád národa - Vlastenecká unie;54;0;0;1;0;18;10;0;20;0;5;0;1;2;1;13;2;2;8;25;12;8;12;0
574627;Vršovka;107;77;Řád národa - Vlastenecká unie;19;0;0;0;0;2;5;0;11;0;1;0;0;0;0;1;0;0;0;9;10;12;7;0
574635;Vysoká Srbská;217;136;Řád národa - Vlastenecká unie;52;0;0;1;0;3;13;0;20;1;2;0;0;0;0;9;0;0;1;5;9;8;10;1
574643;Vysokov;380;272;Řád národa - Vlastenecká unie;85;0;0;4;1;23;27;0;32;3;1;1;0;0;0;9;2;2;1;25;20;23;11;0
574651;Zábrodí;417;286;Řád národa - Vlastenecká unie;62;0;0;0;0;8;35;0;41;2;0;1;0;0;0;14;2;6;4;28;12;40;26;0
574660;Zaloňov;367;245;Řád národa - Vlastenecká unie;88;0;1;0;2;26;4;0;4;1;3;0;0;2;1;16;1;1;3;55;6;15;13;3
574686;Žďár nad Metují;522;340;Řád národa - Vlastenecká unie;106;0;1;1;3;15;24;0;59;1;2;2;0;1;2;20;1;2;3;31;19;30;14;0
574694;Žďárky;454;301;Řád národa - Vlastenecká unie;85;0;1;1;2;12;38;2;58;0;2;0;0;1;0;16;0;1;0;25;13;14;25;0
574708;Žernov;203;142;Řád národa - Vlastenecká unie;34;0;0;0;0;2;10;1;28;1;2;2;0;0;0;5;0;2;6;8;21;12;7;0
